Watchlist Scanner

Results
Symbol,Description,Last,%Change,Volume,Bid,Ask,Delta,Gamma,Theta,Vega,Sizzle Index,Volume,Days,Mark,Mark % of underlying value,VWAP,Prob.ITM,Max Cov Return,Cov Return
EW,EDWARDS LIFESCIENCES CORP COM,82.13,+1.96%,"1,449,035",82.10,82.15,1.00,.00,.00,.00,10.057,"1,449,035",NaN,82.130,100.00%,80.94,<empty>,<empty>,<empty>
ASB,ASSOCIATED BANC-CORP COM,21.93,+1.25%,"605,141",21.92,21.93,1.00,.00,.00,.00,9.252,"605,141",NaN,21.930,100.00%,22.02,<empty>,<empty>,<empty>
WRI,WEINGARTEN REALTY INVESTORS SBI USD0.03,27.37,+0.37%,"632,719",27.36,27.38,1.00,.00,.00,.00,9.14,"632,719",NaN,27.370,100.00%,27.58,<empty>,<empty>,<empty>
AYTU,AYTU BIOPHARMA INC COM,7.58,-2.32%,"449,127",7.58,7.59,1.00,.00,.00,.00,9.048,"449,127",NaN,7.580,100.00%,7.64,<empty>,<empty>,<empty>
WETF,WISDOMTREE INVESTMENTS INC COM,6.29,+6.07%,"647,781",6.29,6.30,1.00,.00,.00,.00,8.845,"647,781",NaN,6.290,100.00%,6.18,<empty>,<empty>,<empty>
HIW,HIGHWOODS PROPERTIES INC COM USD0.01,43.54,+0.95%,"350,154",43.54,43.59,1.00,.00,.00,.00,8.443,"350,154",NaN,43.540,100.00%,43.74,<empty>,<empty>,<empty>
GGB,GERDAU SA ADR SPONSORED,4.86,+1.67%,"14,901,080",4.86,4.87,1.00,.00,.00,.00,8.37,"14,901,080",NaN,4.860,100.00%,4.95,<empty>,<empty>,<empty>
MSGE,MADISON SQUARE GARDEN ENTERTAI COM CL A,85.485,-9.00%,"1,388,068",85.50,85.70,1.00,.00,.00,.00,8.254,"1,388,068",NaN,85.500,100.00%,85.69,<empty>,<empty>,<empty>
RCUS,ARCUS BIOSCIENCES INC COM,31.96,-4.40%,"293,875",31.92,31.99,1.00,.00,.00,.00,8.101,"293,875",NaN,31.960,100.00%,32.28,<empty>,<empty>,<empty>
INVH,INVITATION HOMES INC COM USD0.01,32.13,+1.42%,"1,538,338",32.13,32.14,1.00,.00,.00,.00,8.015,"1,538,338",NaN,32.130,100.00%,32.08,<empty>,<empty>,<empty>
ROOT,ROOT INC COM CL A,13.92,+8.16%,"22,578,741",13.91,13.94,1.00,.00,.00,.00,8.005,"22,578,741",NaN,13.920,100.00%,14.34,<empty>,<empty>,<empty>
HPP,HUDSON PAC PPTYS INC COM USD0.01,27.67,+1.21%,"462,013",27.67,27.68,1.00,.00,.00,.00,7.225,"462,013",NaN,27.670,100.00%,27.94,<empty>,<empty>,<empty>
CNSL,CONSOL COMMUNICATIONS HLDGS IN COM,6.68,+2.30%,"206,317",6.67,6.69,1.00,.00,.00,.00,7.225,"206,317",NaN,6.680,100.00%,6.68,<empty>,<empty>,<empty>
DSKE,DASEKE INC COM,8.36,+8.57%,"1,597,887",8.34,8.38,1.00,.00,.00,.00,6.939,"1,597,887",NaN,8.360,100.00%,8.2,<empty>,<empty>,<empty>
CVI,CVR ENERGY INC COM,20.63,+0.10%,"277,193",20.56,20.61,1.00,.00,.00,.00,6.847,"277,193",NaN,20.610,100.00%,20.63,<empty>,<empty>,<empty>
BIDU,BAIDU INC ADR,185.49,-9.33%,"74,235,406",185.46,185.58,1.00,.00,.00,.00,6.754,"74,235,406",NaN,185.490,100.00%,189.21,<empty>,<empty>,<empty>
ABB,ABB LTD ADR SPONSORED,31.28,+0.64%,"1,533,784",31.27,31.28,1.00,.00,.00,.00,6.674,"1,533,784",NaN,31.280,100.00%,31.21,<empty>,<empty>,<empty>
EXPD,EXPEDTRS INTL WASH COM,106.44,+2.89%,"372,525",106.37,106.47,1.00,.00,.00,.00,6.673,"372,525",NaN,106.440,100.00%,105.65,<empty>,<empty>,<empty>
AQUA,EVOQUA WATER TECHNOLOGIES CORP COM,25.66,+2.97%,"758,799",25.62,25.66,1.00,.00,.00,.00,6.563,"758,799",NaN,25.660,100.00%,25.53,<empty>,<empty>,<empty>
SCR,SCORE MEDIA AND GAMING INC COM CL A,23.80,-4.65%,"239,443",23.77,23.97,1.00,.00,.00,.00,6.527,"239,443",NaN,23.800,100.00%,24.5,<empty>,<empty>,<empty>
CEQP,CRESTWOOD EQUITY PARTNERS LP UNIT LTD PARTNERSHIP INT,26.62,+9.23%,"1,032,807",26.57,26.64,1.00,.00,.00,.00,6.522,"1,032,807",NaN,26.620,100.00%,26.35,<empty>,<empty>,<empty>
KDP,KEURIG DR PEPPER INC COM,35.09,+1.59%,"4,531,080",35.08,35.09,1.00,.00,.00,.00,6.388,"4,531,080",NaN,35.090,100.00%,34.87,<empty>,<empty>,<empty>
EAT,BRINKER INTERNATIONAL COM,72.01,+2.83%,"696,317",71.97,72.14,1.00,.00,.00,.00,6.354,"696,317",NaN,72.010,100.00%,72.81,<empty>,<empty>,<empty>
LOVE,LOVESAC COMPANY COM,52.44,-3.25%,"162,674",52.27,52.61,1.00,.00,.00,.00,6.266,"162,674",NaN,52.440,100.00%,53.23,<empty>,<empty>,<empty>
FST,FAST ACQUISITION CORP COM CL A,12.28,+5.05%,"442,755",12.25,12.28,1.00,.00,.00,.00,5.932,"442,755",NaN,12.280,100.00%,12.53,<empty>,<empty>,<empty>
NWS,NEWS CORP NEW COM CL B,23.90,-2.13%,"566,547",23.88,23.90,1.00,.00,.00,.00,5.878,"566,547",NaN,23.900,100.00%,24.23,<empty>,<empty>,<empty>
AOS,SMITH A O CORP COM,68.855,+3.18%,"635,451",68.84,68.87,1.00,.00,.00,.00,5.851,"635,451",NaN,68.855,100.00%,68.36,<empty>,<empty>,<empty>
DISCK,DISCOVERY INC COM,33.72,-33.93%,"27,997,514",33.70,33.72,1.00,.00,.00,.00,5.636,"27,997,514",NaN,33.720,100.00%,37.81,<empty>,<empty>,<empty>
VRSK,VERISK ANALYTICS INC COM,176.86,+1.19%,"377,133",176.80,176.93,1.00,.00,.00,.00,5.628,"377,133",NaN,176.860,100.00%,175.71,<empty>,<empty>,<empty>
WWD,WOODWARD INC COM,121.68,-0.26%,"164,116",121.67,121.85,1.00,.00,.00,.00,5.488,"164,116",NaN,121.680,100.00%,122.4,<empty>,<empty>,<empty>
LPG,DORIAN LPG LIMITED COM,13.67,+4.83%,"249,383",13.65,13.68,1.00,.00,.00,.00,5.479,"249,383",NaN,13.670,100.00%,13.64,<empty>,<empty>,<empty>
TK,TEEKAY CORPORATION COM,3.697,+10.36%,"2,037,225",3.69,3.70,1.00,.00,.00,.00,5.193,"2,037,225",NaN,3.697,100.00%,3.69,<empty>,<empty>,<empty>
FRO,FRONTLINE LTD COM,8.12,+6.42%,"3,261,727",8.11,8.12,1.00,.00,.00,.00,4.993,"3,261,727",NaN,8.120,100.00%,8.13,<empty>,<empty>,<empty>
VIPS,VIPSHOP HLDGS LTD ADR,27.1832,-14.92%,"107,228,745",27.18,27.20,1.00,.00,.00,.00,4.957,"107,228,745",NaN,27.183,100.00%,29.5,<empty>,<empty>,<empty>
KREF,KKR REAL ESTATE FINANCE TRUST COM USD0.01,18.96,+0.96%,"214,038",18.94,18.96,1.00,.00,.00,.00,4.925,"214,038",NaN,18.960,100.00%,18.94,<empty>,<empty>,<empty>
BR,BROADRIDGE FIN SOLUTIONS INC COM,152.40,+2.81%,"262,684",152.33,152.41,1.00,.00,.00,.00,4.911,"262,684",NaN,152.400,100.00%,149.96,<empty>,<empty>,<empty>
MGNX,MACROGENICS INC COM,32.85,-0.15%,"485,241",32.83,32.91,1.00,.00,.00,.00,4.813,"485,241",NaN,32.850,100.00%,32.73,<empty>,<empty>,<empty>
WLL,WHITING PETROLEUM CORP COM,34.235,+1.29%,"357,771",34.17,34.30,1.00,.00,.00,.00,4.771,"357,771",NaN,34.235,100.00%,34.48,<empty>,<empty>,<empty>
SLM,SLM CORP COM,17.855,+4.97%,"4,342,194",17.85,17.86,1.00,.00,.00,.00,4.742,"4,342,194",NaN,17.855,100.00%,17.76,<empty>,<empty>,<empty>
EGOV,NIC INC COM,33.875,+0.09%,"660,708",33.87,33.88,1.00,.00,.00,.00,4.709,"660,708",NaN,33.875,100.00%,33.88,<empty>,<empty>,<empty>
ASMB,ASSEMBLY BIOSCIENCES INC COM,4.47,+0.22%,"425,905",4.46,4.47,1.00,.00,.00,.00,4.606,"425,905",NaN,4.470,100.00%,4.53,<empty>,<empty>,<empty>
LCY,LANDCADIA HOLDINGS III INC COM CL A,10.07,+0.70%,"993,872",10.04,10.10,1.00,.00,.00,.00,4.591,"993,872",NaN,10.070,100.00%,10.31,<empty>,<empty>,<empty>
ZEUS,OLYMPIC STEEL INC COM,29.14,+14.14%,"162,467",28.61,29.02,1.00,.00,.00,.00,4.37,"162,467",NaN,29.020,100.00%,28.3,<empty>,<empty>,<empty>
MMS,MAXIMUS INC COM,88.72,+1.19%,"138,905",88.65,88.73,1.00,.00,.00,.00,4.364,"138,905",NaN,88.720,100.00%,88.03,<empty>,<empty>,<empty>
NBSE,NEUBASE THERAPEUTICS INC COM,7.30,-2.01%,"181,600",7.24,7.33,1.00,.00,.00,.00,4.316,"181,600",NaN,7.300,100.00%,7.3,<empty>,<empty>,<empty>
EGAN,EGAIN CORPORATION COM,9.22,+0.44%,"213,549",9.20,9.24,1.00,.00,.00,.00,4.289,"213,549",NaN,9.220,100.00%,9.23,<empty>,<empty>,<empty>
SMPL,SIMPLY GOOD FOODS COMPANY COM,30.65,+4.11%,"403,257",30.61,30.67,1.00,.00,.00,.00,4.25,"403,257",NaN,30.650,100.00%,30.01,<empty>,<empty>,<empty>
ANET,ARISTA NETWORKS INC COM,307.53,+5.32%,"516,154",307.39,307.68,1.00,.00,.00,.00,4.248,"516,154",NaN,307.530,100.00%,302.14,<empty>,<empty>,<empty>
RPM,RPM INTERNATIONAL INC COM,93.4824,+2.08%,"253,121",93.37,93.51,1.00,.00,.00,.00,4.243,"253,121",NaN,93.482,100.00%,93.02,<empty>,<empty>,<empty>
DISCA,DISCOVERY INC COM,37.85,-34.46%,"70,352,426",37.84,37.86,1.00,.00,.00,.00,4.227,"70,352,426",NaN,37.850,100.00%,44.49,<empty>,<empty>,<empty>
FMS,FRESENIUS MEDICAL CARE AG & CO ADR SPONSORED,37.43,+1.57%,"177,600",37.43,37.45,1.00,.00,.00,.00,4.221,"177,600",NaN,37.430,100.00%,37.4,<empty>,<empty>,<empty>
UCBI,UNITED COMMUNITY BANKS INC COM,34.77,+2.20%,"193,773",34.77,34.81,1.00,.00,.00,.00,4.219,"193,773",NaN,34.770,100.00%,34.8,<empty>,<empty>,<empty>
EHC,ENCOMPASS HEALTH CORPORATION COM,82.53,0.00%,"222,664",82.46,82.54,1.00,.00,.00,.00,4.195,"222,664",NaN,82.530,100.00%,82.72,<empty>,<empty>,<empty>
STNG,SCORPIO TANKERS INC COM,19.68,+1.60%,"1,428,371",19.65,19.68,1.00,.00,.00,.00,4.165,"1,428,371",NaN,19.680,100.00%,19.84,<empty>,<empty>,<empty>
KBR,KBR INC COM,36.95,+3.94%,"2,586,257",36.95,36.98,1.00,.00,.00,.00,4.159,"2,586,257",NaN,36.950,100.00%,36.73,<empty>,<empty>,<empty>
ABR,ARBOR REALTY TRUST INC COM USD0.01,15.255,-6.35%,"3,574,452",15.25,15.26,1.00,.00,.00,.00,4.139,"3,574,452",NaN,15.255,100.00%,15.6,<empty>,<empty>,<empty>
LGIH,LGI HOMES INC COM,148.2634,+2.42%,"178,584",148.05,148.68,1.00,.00,.00,.00,4.061,"178,584",NaN,148.263,100.00%,148.72,<empty>,<empty>,<empty>
ANTM,ANTHEM INC COM,369.26,+0.65%,"706,092",369.15,369.43,1.00,.00,.00,.00,4.015,"706,092",NaN,369.260,100.00%,367.32,<empty>,<empty>,<empty>
MHO,M/I HOMES INC COM,57.98,+4.39%,"163,005",57.86,58.04,1.00,.00,.00,.00,3.977,"163,005",NaN,57.980,100.00%,58.08,<empty>,<empty>,<empty>
NUE,NUCOR CORP COM,77.73,+6.74%,"6,031,373",77.71,77.73,1.00,.00,.00,.00,3.967,"6,031,373",NaN,77.730,100.00%,77.3,<empty>,<empty>,<empty>
VIAC,VIACOMCBS INC COM CL B,43.95,-33.76%,"134,553,050",43.94,43.98,1.00,.00,.00,.00,3.946,"134,553,050",NaN,43.950,100.00%,50.76,<empty>,<empty>,<empty>
DCPH,DECIPHERA PHARMACEUTICALS INC COM,43.135,-1.27%,"158,471",43.10,43.23,1.00,.00,.00,.00,3.908,"158,471",NaN,43.135,100.00%,43.08,<empty>,<empty>,<empty>
IQ,IQIYI INC ADR,16.015,-20.24%,"77,842,731",16.01,16.02,1.00,.00,.00,.00,3.903,"77,842,731",NaN,16.015,100.00%,17.68,<empty>,<empty>,<empty>
MTG,MGIC INVESTMENT CORP COM,13.155,+2.61%,"1,284,904",13.16,13.17,1.00,.00,.00,.00,3.885,"1,284,904",NaN,13.160,100.00%,13.09,<empty>,<empty>,<empty>
UFPI,UFP INDUSTRIES INC COM,72.13,+2.79%,"226,446",72.01,72.16,1.00,.00,.00,.00,3.732,"226,446",NaN,72.130,100.00%,71.65,<empty>,<empty>,<empty>
BBL,BHP GROUP PLC ADR UNSPONSORED,57.61,+2.91%,"1,227,827",57.59,57.60,1.00,.00,.00,.00,3.719,"1,227,827",NaN,57.600,100.00%,57.66,<empty>,<empty>,<empty>
ELF,E L F BEAUTY INC COM,26.76,+0.41%,"306,887",26.75,26.79,1.00,.00,.00,.00,3.653,"306,887",NaN,26.760,100.00%,27.0,<empty>,<empty>,<empty>
AGO,ASSURED GUARANTY LTD COM,42.41,-1.10%,"486,701",42.39,42.44,1.00,.00,.00,.00,3.582,"486,701",NaN,42.410,100.00%,42.98,<empty>,<empty>,<empty>
JKHY,HENRY JACK & ASSOCIATES INC COM,153.70,+0.60%,"372,937",153.64,153.83,1.00,.00,.00,.00,3.512,"372,937",NaN,153.700,100.00%,152.15,<empty>,<empty>,<empty>
FND,FLOOR & DECOR HOLDINGS INC COM CL A,95.47,0.00%,"289,617",95.47,95.66,1.00,.00,.00,.00,3.481,"289,617",NaN,95.470,100.00%,96.05,<empty>,<empty>,<empty>
ORAN,ORANGE ADR SPONSORED,12.35,+0.24%,"356,601",12.34,12.35,1.00,.00,.00,.00,3.474,"356,601",NaN,12.350,100.00%,12.39,<empty>,<empty>,<empty>
WWW,WOLVERINE WORLD WIDE INC COM,39.065,+3.05%,"201,482",39.03,39.10,1.00,.00,.00,.00,3.458,"201,482",NaN,39.065,100.00%,38.94,<empty>,<empty>,<empty>
OR,OSISKO GOLD ROYALTIES LTD COM,11.155,+1.69%,"493,233",11.15,11.16,1.00,.00,.00,.00,3.426,"493,233",NaN,11.155,100.00%,11.09,<empty>,<empty>,<empty>
CAPA,HIGHCAPE CAP ACQUISITION CORP COM CL A,12.00,+6.86%,"737,852",11.98,12.00,1.00,.00,.00,.00,3.395,"737,852",NaN,12.000,100.00%,11.73,<empty>,<empty>,<empty>
PRA,PROASSURANCE CORP COM,27.54,+1.81%,"109,752",27.50,27.55,1.00,.00,.00,.00,3.377,"109,752",NaN,27.540,100.00%,27.51,<empty>,<empty>,<empty>
VIACA,VIACOMCBS INC COM CL A,45.50,-31.63%,"748,549",45.30,45.74,1.00,.00,.00,.00,3.346,"748,549",NaN,45.500,100.00%,51.9,<empty>,<empty>,<empty>
SIMO,SILICON MOTION TECHNOLOGY CORP ADR,58.13,-0.68%,"124,750",58.13,58.22,1.00,.00,.00,.00,3.327,"124,750",NaN,58.130,100.00%,58.58,<empty>,<empty>,<empty>
QTNT,QUOTIENT LTD COM,3.915,+3.03%,"368,377",3.91,3.92,1.00,.00,.00,.00,3.309,"368,377",NaN,3.915,100.00%,3.86,<empty>,<empty>,<empty>
GBCI,GLACIER BANCORP COM,59.67,+2.60%,"189,269",59.57,59.67,1.00,.00,.00,.00,3.283,"189,269",NaN,59.670,100.00%,59.46,<empty>,<empty>,<empty>
SLP,SIMULATIONS PLUS INC COM,58.37,-5.23%,"185,874",58.36,58.59,1.00,.00,.00,.00,3.276,"185,874",NaN,58.370,100.00%,59.08,<empty>,<empty>,<empty>
ISRG,INTUITIVE SURGICAL INC COM,722.235,+2.52%,"273,829",721.67,722.80,1.00,.00,.00,.00,3.267,"273,829",NaN,722.235,100.00%,714.6,<empty>,<empty>,<empty>
UNM,UNUM GROUP COM,27.26,+0.85%,"1,784,879",27.25,27.26,1.00,.00,.00,.00,3.229,"1,784,879",NaN,27.260,100.00%,27.57,<empty>,<empty>,<empty>
ES,EVERSOURCE ENERGY COM,85.815,-0.25%,"758,585",85.79,85.84,1.00,.00,.00,.00,3.218,"758,585",NaN,85.815,100.00%,85.19,<empty>,<empty>,<empty>
KXIN,KAIXIN AUTO HOLDINGS COM,3.09,-2.22%,"1,253,490",3.09,3.10,1.00,.00,.00,.00,3.214,"1,253,490",NaN,3.090,100.00%,3.19,<empty>,<empty>,<empty>
AVLR,AVALARA INC COM,120.30,-4.71%,"457,730",120.12,120.48,1.00,.00,.00,.00,3.197,"457,730",NaN,120.300,100.00%,123.03,<empty>,<empty>,<empty>
IEX,IDEX CORP COM,205.15,+1.75%,"106,602",205.16,205.31,1.00,.00,.00,.00,3.141,"106,602",NaN,205.160,100.00%,204.66,<empty>,<empty>,<empty>
MLM,MARTIN MARIETTA MATERIALS INC COM,339.3406,+1.83%,"475,134",339.01,339.67,1.00,.00,.00,.00,3.099,"475,134",NaN,339.341,100.00%,339.88,<empty>,<empty>,<empty>
WLTW,WILLIS TOWERS WATSON PLC COM,226.63,+0.95%,"661,286",226.41,226.81,1.00,.00,.00,.00,3.099,"661,286",NaN,226.630,100.00%,225.68,<empty>,<empty>,<empty>
RFP,RESOLUTE FST PRODS INC COM,10.275,+8.73%,"1,365,848",10.27,10.28,1.00,.00,.00,.00,3.097,"1,365,848",NaN,10.275,100.00%,10.3,<empty>,<empty>,<empty>
FTCH,FARFETCH LTD COM CL A,45.87,-11.46%,"31,107,613",45.86,45.87,1.00,.00,.00,.00,3.083,"31,107,613",NaN,45.870,100.00%,46.47,<empty>,<empty>,<empty>
DHI,DR HORTON INC COM,88.60,+2.96%,"2,117,117",88.58,88.62,1.00,.00,.00,.00,3.077,"2,117,117",NaN,88.600,100.00%,88.16,<empty>,<empty>,<empty>
CE,CELANESE CORP COM,151.57,+1.31%,"441,515",151.58,151.68,1.00,.00,.00,.00,3.062,"441,515",NaN,151.580,100.00%,153.46,<empty>,<empty>,<empty>
AU,ANGLOGOLD ASHANTI LTD ADR SPONSORED,20.985,+5.66%,"3,204,270",20.98,20.99,1.00,.00,.00,.00,3.037,"3,204,270",NaN,20.985,100.00%,20.45,<empty>,<empty>,<empty>
PAYX,PAYCHEX INC COM,100.04,+1.76%,"982,674",99.99,100.05,1.00,.00,.00,.00,2.95,"982,674",NaN,100.040,100.00%,99.26,<empty>,<empty>,<empty>
PNC,PNC FINANCIAL SERVICES GROUP COM,178.89,+1.07%,"1,117,587",178.81,178.99,1.00,.00,.00,.00,2.948,"1,117,587",NaN,178.890,100.00%,179.05,<empty>,<empty>,<empty>
MFGP,MICRO FOCUS INTERNATIONAL PLC ADR SPONSORED,7.20,+6.67%,"1,243,456",7.20,7.21,1.00,.00,.00,.00,2.836,"1,243,456",NaN,7.200,100.00%,7.16,<empty>,<empty>,<empty>
TMHC,TAYLOR MORRISON HOME CORP COM,30.675,+3.56%,"470,381",30.66,30.70,1.00,.00,.00,.00,2.724,"470,381",NaN,30.675,100.00%,30.63,<empty>,<empty>,<empty>
UI,UBIQUITI INC COM,378.98,+10.96%,"294,744",378.49,381.02,1.00,.00,.00,.00,2.723,"294,744",NaN,378.980,100.00%,376.27,<empty>,<empty>,<empty>
RSG,REPUBLIC SERVICES INC COM,101.00,+1.93%,"581,935",100.98,101.02,1.00,.00,.00,.00,2.709,"581,935",NaN,101.000,100.00%,100.42,<empty>,<empty>,<empty>
PLMR,PALOMAR HOLDINGS INC COM,68.21,+9.40%,"355,770",67.92,68.28,1.00,.00,.00,.00,2.681,"355,770",NaN,68.210,100.00%,67.89,<empty>,<empty>,<empty>
AJRD,AEROJET ROCKETDYNE HLDGS INC COM,47.25,+0.32%,"359,596",47.23,47.25,1.00,.00,.00,.00,2.653,"359,596",NaN,47.250,100.00%,47.15,<empty>,<empty>,<empty>
TXG,10X GENOMICS INC COM CL A,163.07,-1.89%,"332,024",162.53,163.33,1.00,.00,.00,.00,2.613,"332,024",NaN,163.070,100.00%,166.95,<empty>,<empty>,<empty>
J,JACOBS ENGINEERING GROUP INC COM,127.62,+1.17%,"333,973",127.52,127.66,1.00,.00,.00,.00,2.595,"333,973",NaN,127.620,100.00%,126.74,<empty>,<empty>,<empty>
GIX,GIGCAPITAL2 INC COM,10.015,+0.15%,"126,322",10.01,10.02,1.00,.00,.00,.00,2.585,"126,322",NaN,10.015,100.00%,10.01,<empty>,<empty>,<empty>
TNK,TEEKAY TANKERS LTD COM,14.91,+3.54%,"729,452",14.90,14.95,1.00,.00,.00,.00,2.577,"729,452",NaN,14.910,100.00%,15.33,<empty>,<empty>,<empty>
CDW,CDW CORP COM,164.78,+3.23%,"719,162",164.66,164.78,1.00,.00,.00,.00,2.548,"719,162",NaN,164.780,100.00%,162.95,<empty>,<empty>,<empty>
XYL,XYLEM INC COM,103.98,+2.01%,"441,031",103.92,104.00,1.00,.00,.00,.00,2.493,"441,031",NaN,103.980,100.00%,103.16,<empty>,<empty>,<empty>
TDC,TERADATA CORPORATION COM,39.48,+2.65%,"1,125,110",39.46,39.50,1.00,.00,.00,.00,2.485,"1,125,110",NaN,39.480,100.00%,39.28,<empty>,<empty>,<empty>
NBR,NABORS INDUSTRIES LTD COM,96.54,+0.03%,"101,864",96.21,96.87,1.00,.00,.00,.00,2.462,"101,864",NaN,96.540,100.00%,98.1,<empty>,<empty>,<empty>
CHTR,CHARTER COMMUNICATIONS INC COM CL A,621.97,-2.48%,"672,169",621.28,621.99,1.00,.00,.00,.00,2.416,"672,169",NaN,621.970,100.00%,631.18,<empty>,<empty>,<empty>
PTC,PTC INC COM,133.42,+4.23%,"525,637",133.40,133.51,1.00,.00,.00,.00,2.393,"525,637",NaN,133.420,100.00%,131.2,<empty>,<empty>,<empty>
AMT,AMERICAN TOWER CORP COM USD0.01,235.83,+3.79%,"1,575,666",235.85,235.96,1.00,.00,.00,.00,2.285,"1,575,666",NaN,235.850,100.00%,232.24,<empty>,<empty>,<empty>
EPC,EDGEWELL PERSONAL CARE CO COM,38.525,+0.06%,"1,647,499",38.50,38.55,1.00,.00,.00,.00,2.185,"1,647,499",NaN,38.525,100.00%,38.68,<empty>,<empty>,<empty>
BWA,BORG WARNER INC COM,45.05,+3.09%,"2,174,245",45.03,45.06,1.00,.00,.00,.00,2.089,"2,174,245",NaN,45.050,100.00%,45.04,<empty>,<empty>,<empty>
HTZGQ,HERTZ GLOBAL HOLDINGS INC COM,1.3900,+10.32%,"5,869,382",1.3900,1.4000,1.00,.00,.00,.00,2.066,"5,869,382",NaN,1.39000,100.00%,1.379,<empty>,<empty>,<empty>
HUBG,HUB GROUP INC COM CL A,67.18,+3.87%,"123,324",67.16,67.30,1.00,.00,.00,.00,2.057,"123,324",NaN,67.180,100.00%,66.73,<empty>,<empty>,<empty>
TVTY,TIVITY HEALTH INC COM,22.29,-2.28%,"116,209",22.29,22.35,1.00,.00,.00,.00,2.023,"116,209",NaN,22.290,100.00%,22.76,<empty>,<empty>,<empty>
