

Watchlist Scanner

Results
Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,Market Cap,Vol Index,Sizzle Index,Avg Price,Call Sizzle Index
NWE,NORTHWESTERN CORPORATION COM,63.30,+.57,+0.91%,"252,029",60.93,64.53,"3,204 M",56.99%,4.444,-,3.947
GNUS,GENIUS BRANDS INTL INC COM,2.6300,+.24,+10.04%,"130,426,703",2.6500,2.6600,788 M,168.42%,4.38,-,4.57
BSM,BLACK STONE MINERALS LP COM UNIT REPSTG LTD PARTNER,8.48,-.23,-2.64%,"429,236",8.18,8.53,"1,758 M",49.86%,4.302,-,4.804
ATRO,ASTRONICS CORP COM,17.03,-1.39,-7.55%,"316,101",16.76,19.61,526 M,74.08%,4.258,-,5.683
VBTX,VERITEX HLDGS INC COM,31.60,-.93,-2.86%,"286,121",30.00,34.00,"1,557 M",40.39%,4.264,-,4.248
UCBI,UNITED COMMUNITY BANKS INC COM,33.17,-1.28,-3.72%,"387,251",26.92,37.00,"2,877 M",40.09%,4.219,-,3.718
GLT,GLATFELTER CORPORATION COM,16.55,-.79,-4.56%,"215,109",14.04,19.56,734 M,53.27%,4.18,-,6.264
BSBR,BANCO SANTANDER (BRAZIL) SA ADR SPONSORED,7.09,-.17,-2.34%,"2,594,726",6.84,7.40,"52,898 M",47.43%,4.136,-,8.272
EXP,EAGLE MATERIALS INC COM,123.30,-4.44,-3.48%,"405,629",118.70,131.89,"5,179 M",33.75%,4.006,-,6.508
SFM,SPROUTS FARMERS MARKETS INC COM,25.87,+.69,+2.74%,"3,356,057",25.65,26.00,"3,051 M",36.04%,3.915,-,4.376
WST,WEST PHARMA SERVICES INC COM,283.25,+.76,+0.27%,"364,043",272.54,289.95,"20,990 M",26.43%,3.899,-,3.582
ARYA,ARYA SCIENCES ACQUISITION CORP COM CL A,13.89,+.16,+1.17%,"122,062",13.50,14.30,273 M,84.40%,3.897,-,3.55
CB,CHUBB LIMITED COM,157.38,+.33,+0.21%,"3,286,331",157.09,160.66,"70,856 M",29.27%,3.893,-,5.103
TEL,TE CONNECTIVITY LTD COM,123.75,-4.76,-3.70%,"2,273,932",100.00,129.99,"40,945 M",31.77%,3.883,-,2.825
LPLA,LPL FINL HLDGS INC COM,137.08,-7.70,-5.32%,"833,568",137.00,145.74,"10,923 M",34.41%,3.873,-,36.699
ESNT,ESSENT GROUP LTD COM,42.39,-.40,-0.93%,"1,169,510",42.00,42.99,"4,783 M",44.10%,3.834,-,5.991
CMCSA,COMCAST CORP COM CL A,56.14,-.23,-0.41%,"14,186,138",55.62,56.79,"257,158 M",36.98%,3.81,-,4.053
HSTM,HEALTHSTREAM INC COM,22.75,-.11,-0.48%,"143,233",22.60,23.62,716 M,42.69%,3.824,-,3.824
WW,WW INTERNATIONAL INC COM,31.90,-.45,-1.39%,"805,895",31.65,34.00,"2,201 M",60.08%,3.774,-,4.575
WSO,WATSCO INC COM,251.90,-2.59,-1.02%,"119,054",204.84,290.34,"9,726 M",27.19%,3.787,-,3.838
PODD,INSULET CORPORATION COM,277.05,+7.73,+2.87%,"837,128",229.00,330.52,"18,308 M",46.40%,3.751,-,3.618
UMBF,UMB FINANCIAL CORP COM,90.15,-2.62,-2.82%,"306,260",77.68,125.00,"4,348 M",51.44%,3.714,-,3.714
DISH,DISH NETWORK CORPORATION COM CL A,35.94,-1.60,-4.26%,"4,537,950",34.33,36.10,"18,911 M",47.56%,3.661,-,4.444
MODV,MODIVCARE INC COM,158.39,-2.16,-1.35%,"138,451",135.29,188.22,"2,248 M",49.15%,3.684,-,3.75
NTLA,INTELLIA THERAPEUTICS INC COM,65.21,-3.17,-4.64%,"1,173,865",62.01,65.20,"4,416 M",102.77%,3.606,-,4.883
CSLT,CASTLIGHT HEALTH INC COM CL B,1.68,-.11,-6.15%,"845,673",1.71,1.81,265 M,132.64%,3.603,-,3.626
THC,TENET HEALTHCARE CORP COM,50.49,-4.32,-7.88%,"1,877,812",50.01,51.20,"5,362 M",54.00%,3.587,-,3.692
EMKR,EMCORE CORP COM,5.66,-.59,-9.44%,"1,216,426",5.51,5.99,206 M,125.07%,3.583,-,3.711
CUTR,CUTERA INC COM,30.77,-.97,-3.06%,"381,552",30.00,34.00,543 M,73.51%,3.578,-,3.953
ALVR,ALLOVIR INC COM,23.23,-2.38,-9.29%,"607,659",23.00,23.89,"1,439 M",98.12%,3.567,-,3.329
BKR,BAKER HUGHES COMPANY COM CL A,21.69,-.62,-2.78%,"8,101,581",21.40,22.02,"22,566 M",43.35%,3.554,-,4.679
GDDY,GODADDY INC COM CL A,76.89,+1.43,+1.90%,"2,806,460",72.29,78.98,"13,077 M",35.35%,3.547,-,3.647
HUN,HUNTSMAN CORP COM,26.81,-1.61,-5.67%,"2,341,203",26.77,26.97,"5,942 M",37.33%,3.531,-,5.588
VRSN,VERISIGN COM,196.26,+1.81,+0.93%,"486,142",187.72,197.46,"22,196 M",27.85%,3.522,-,4.862
XEL,XCEL ENERGY INC COM,65.44,+1.69,+2.65%,"3,572,623",65.44,65.99,"35,184 M",24.81%,3.498,-,5.332
CFFN,CAPITOL FED FIN IN COM,13.22,-.12,-0.90%,"392,264",12.45,14.25,"1,835 M",29.42%,3.513,-,3.513
SOHU,SOHU COM LTD ADR,16.50,-.42,-2.48%,"241,431",16.25,16.96,649 M,68.32%,3.472,-,4.836
TK,TEEKAY CORPORATION COM,3.29,-.19,-5.46%,"764,969",3.27,3.37,333 M,122.04%,3.468,-,4.33
IIVI,II-VI INC COM,65.85,-1.62,-2.40%,"2,269,624",65.41,66.99,"6,899 M",58.31%,3.405,-,3.924
NESR,NATIONAL ENERGY SVCS REUNITED COM,11.49,-.44,-3.69%,"345,411",10.80,13.34,"1,009 M",57.47%,3.397,-,2.9
FRPT,FRESHPET INC COM,150.18,+.61,+0.41%,"289,845",131.25,155.00,"6,479 M",47.05%,3.382,-,2.87
JBHT,J B HUNT TRANSPORT SERVICES IN COM,155.95,-2.46,-1.55%,"552,372",154.14,159.39,"16,485 M",31.15%,3.361,-,2.876
REPL,REPLIMUNE GROUP INC COM,32.72,-1.67,-4.86%,"403,192",32.58,43.00,"1,521 M",56.26%,3.36,-,3.649
PDS,PRECISION DRILLING CORPORATION COM,20.10,-1.08,-5.10%,"114,323",19.71,24.51,267 M,73.95%,3.351,-,5.074
BCEI,BONANZA CREEK ENERGY INC COM,31.10,-1.56,-4.78%,"517,843",30.62,33.42,648 M,72.94%,3.338,-,4.662
MTDR,MATADOR RESOURCES COMPANY COM,22.07,-1.405,-5.99%,"2,027,272",21.03,22.83,"2,577 M",82.21%,3.326,-,2.84
SON,SONOCO PRODUCTS CO COM,61.33,-1.76,-2.79%,"607,910",55.81,65.00,"6,170 M",29.51%,3.32,-,2.653
CWT,CALIFORNIA WATER SERVICE GROUP COM,54.92,+1.61,+3.02%,"230,496",51.54,56.51,"2,765 M",31.72%,3.284,-,3.805
APRN,BLUE APRON HOLDINGS INC COM CL A,7.65,-.43,-5.32%,"359,001",7.55,7.85,137 M,123.34%,3.268,-,5.41
TBK,TRIUMPH BANCORP COM,75.43,-2.39,-3.07%,"146,871",63.06,82.59,"1,877 M",43.74%,3.259,-,3.412
COLB,COLUMBIA BANKING SYSTEMS INC COM,44.55,-1.09,-2.39%,"248,388",27.52,51.00,"3,191 M",++,3.262,-,3.262
KXIN,KAIXIN AUTO HOLDINGS COM,3.34,-.17,-4.84%,"1,774,365",3.32,3.35,218 M,202.61%,3.214,-,3.214
MFGP,MICRO FOCUS INTERNATIONAL PLC ADR SPONSORED,6.54,-.05,-0.76%,"986,283",6.54,6.61,"2,192 M",76.83%,3.146,-,3.673
RCI,ROGERS COMMUNICATIONS INC COM CL B,48.50,-.08,-0.16%,"488,622",41.60,72.84,"24,183 M",29.07%,3.144,-,4.384
SEAC,SEACHANGE INTERNATIONAL INC COM,1.12,-.11,-8.94%,"680,428",1.11,1.12,42 M,269.99%,3.131,-,3.127
BANC,BANC OF CALIFORNIA INC COM,18.41,-1.13,-5.78%,"1,062,869",18.00,24.49,932 M,40.26%,3.099,-,3.133
MAR,MARRIOTT INTERNATIONAL INC COM CL A,142.42,-9.08,-5.99%,"4,178,014",142.65,143.00,"46,203 M",39.79%,3.089,-,2.75
VWTR,VIDLER WATER RESOUCES INC COM,8.59,-.31,-3.48%,"239,050",8.50,9.60,159 M,++,3.088,-,3.088
PSMT,PRICESMART INC COM,92.84,-2.19,-2.30%,"162,497",90.06,122.09,"2,854 M",37.48%,3.095,-,3.039
UFS,DOMTAR CORPORATION COM,34.84,-1.58,-4.34%,"580,733",34.25,36.56,"1,919 M",39.94%,3.064,-,3.094
CL,COLGATE-PALMOLIVE CO COM,77.75,+1.98,+2.61%,"6,042,475",77.76,78.24,"65,976 M",20.17%,3.059,-,3.232
BATRK,LIBERTY MEDIA CORPORATION COM,29.42,-.18,-0.61%,"251,785",29.46,40.16,"1,537 M",38.77%,3.058,-,3.11
ORMP,ORAMED PHARMACEUTICALS INC COM,10.93,+.55,+5.30%,"7,202,981",10.20,10.85,321 M,141.49%,3.053,-,2.648
SCCO,SOUTHERN COPPER CORPORATION COM,68.17,-3.91,-5.42%,"1,843,210",67.91,69.72,"52,700 M",41.65%,3.052,-,3.094
CSTM,CONSTELLIUM SE (FRANCE) COM,14.87,-.92,-5.83%,"1,530,130",12.01,16.68,"2,081 M",54.03%,3.049,-,3.863
TSE,TRINSEO S.A. COM,62.95,-4.35,-6.46%,"587,276",62.61,65.99,"2,420 M",52.53%,3.043,-,4.001
UEPS,NET 1 UEPS TECHNOLOGIES INC COM,5.49,-.16,-2.83%,"633,061",5.53,6.27,311 M,72.54%,3.036,-,3.642
MMC,MARSH & MCLENNAN COMPANIES INC COM,116.93,-.35,-0.30%,"1,522,567",112.15,150.05,"59,422 M",20.77%,3.018,-,3.868
EVH,EVOLENT HEALTH INC COM,20.21,-.75,-3.58%,"377,421",19.23,21.75,"1,740 M",48.58%,3.017,-,3.152
GASS,STEALTHGAS INC COM,2.88,-.29,-9.15%,"189,724",2.88,3.06,109 M,84.90%,2.979,-,2.988
BE,BLOOM ENERGY CORPORATION COM CL A,26.58,-1.03,-3.73%,"2,316,382",26.31,26.50,"4,567 M",77.54%,2.952,-,3.087
CARA,CARA THERAPEUTICS INC COM,19.90,+.13,+0.66%,"445,261",19.90,20.23,993 M,90.53%,2.945,-,2.853
PGNY,PROGYNY INC COM,49.13,+.57,+1.17%,"974,680",48.60,50.50,"4,285 M",55.33%,2.928,-,3.686
ASB,ASSOCIATED BANC-CORP COM,21.16,-.74,-3.38%,"1,411,940",20.55,21.81,"3,239 M",38.37%,2.873,-,2.713
MANT,MANTECH INTERNATIONAL CORP COM CL A,84.41,+.09,+0.11%,"121,912",82.23,86.99,"3,419 M",31.28%,2.895,-,3.333
CAJ,CANON INC ADR SPONSORED,22.12,+.02,+0.09%,"313,591",20.50,22.56,"29,503 M",26.56%,2.835,-,5.332
ATKR,ATKORE INC COM,66.96,-4.51,-6.31%,"683,793",66.96,67.65,"3,122 M",48.99%,2.823,-,2.531
FBP,FIRST BANCORP PUERTO RICO COM,11.00,-.52,-4.51%,"3,467,544",10.71,11.57,"2,401 M",42.46%,2.822,-,4.21
SPGI,S&P GLOBAL INC COM,346.83,+1.29,+0.37%,"1,613,460",334.41,348.18,"83,482 M",25.87%,2.82,-,4.09
NEO,NEOGENOMICS INC COM,48.72,-2.23,-4.38%,"737,562",47.43,50.96,"5,697 M",63.76%,2.817,-,3.148
ATRC,ATRICURE INC COM,63.07,+.33,+0.53%,"478,881",51.50,70.00,"2,874 M",44.34%,2.833,-,3.435
ADNT,ADIENT PLC COM,38.63,-2.26,-5.53%,"1,525,137",35.00,38.80,"3,638 M",58.36%,2.794,-,2.911
FEYE,FIREEYE INC COM,20.32,-.04,-0.20%,"6,453,904",20.11,20.64,"4,848 M",57.91%,2.774,-,3.062
SYF,SYNCHRONY FINANCIAL COM,38.80,-1.74,-4.29%,"9,352,796",38.26,38.89,"22,655 M",35.99%,2.771,-,3.299
HCC,WARRIOR MET COAL INC COM,16.43,-1.28,-7.23%,"815,186",16.46,17.37,844 M,68.53%,2.768,-,3.575
COF,CAPITAL ONE FINANCIAL CORP COM,122.41,-2.81,-2.24%,"3,846,123",121.00,123.62,"56,215 M",36.66%,2.767,-,2.82
LBRDK,LIBERTY BROADBAND CORP COM,155.95,+.42,+0.27%,"1,255,798",155.39,156.36,"30,460 M",31.82%,2.766,-,2.512
PLAB,PHOTRONICS INC COM,11.64,-.55,-4.51%,"468,134",11.43,12.44,738 M,++,2.753,-,2.986
JLL,JONES LANG LASALLE INC COM,172.65,-2.76,-1.57%,"390,417",110.00,199.12,"8,824 M",34.52%,2.752,-,3.004
ASIX,ADVANSIX INC COM,25.77,-1.22,-4.52%,"213,382",24.33,27.89,722 M,62.90%,2.722,-,3.467
RHP,RYMAN HOSPITALITY PPTYS INC COM USD0.01,76.70,-1.83,-2.33%,"448,108",65.00,88.00,"4,217 M",47.50%,2.691,-,2.833
UNP,UNION PACIFIC CORP COM,208.05,+1.78,+0.86%,"3,606,663",207.90,208.28,"139,358 M",26.15%,2.69,-,3.478
PLD,PROLOGIS INC COM USD0.01,105.20,+1.55,+1.50%,"3,605,157",103.89,105.99,"77,821 M",24.05%,2.679,-,3.449
HBM,HUDBAY MINERALS INC COM,6.34,-.62,-8.91%,"1,899,143",6.34,7.70,"1,656 M",68.60%,2.654,-,2.857
BCLI,BRAINSTORM CELL THERAPEUTICS COM,3.92,-.20,-4.85%,"522,956",3.90,3.98,140 M,122.90%,2.653,-,2.704
PKX,POSCO ADR SPONSORED,67.43,+.24,+0.36%,"443,504",65.95,69.07,"21,481 M",36.88%,2.61,-,3.009
DAC,DANAOS CORP COM,47.47,-5.65,-10.64%,"914,158",48.00,49.64,976 M,89.55%,2.61,-,2.531
COWN,COWEN INC COM CL A,36.81,-3.62,-8.95%,"1,478,219",36.26,39.87,982 M,58.82%,2.598,-,2.719
COLM,COLUMBIA SPORTSWEAR CO COM,105.56,-3.17,-2.92%,"314,804",97.60,110.73,"7,008 M",36.59%,2.593,-,2.605
NUAN,NUANCE COMMUNICATIONS INC COM,44.07,-1.13,-2.50%,"3,165,412",43.61,44.08,"12,563 M",48.71%,2.585,-,2.519
ENVA,ENOVA INTERNATIONAL INC COM,34.39,-2.44,-6.63%,"337,332",32.55,36.31,"1,248 M",61.41%,2.581,-,3.531
FLS,FLOWSERVE CORP COM,37.49,-1.97,-4.99%,"1,362,523",36.50,38.05,"4,884 M",44.15%,2.565,-,3.035
RXN,REXNORD CORPORATION (NEW) COM,46.19,-2.00,-4.15%,"882,948",46.50,61.89,"5,525 M",36.71%,2.548,-,2.798
DLR,DIGITAL REALTY TRUST INC COM STK USD0.01,140.00,+3.45,+2.53%,"1,547,018",132.00,143.50,"39,357 M",25.25%,2.486,-,3.126
RIO,RIO TINTO ADR SPONSORED,74.30,-1.78,-2.34%,"2,728,963",74.01,75.89,"120,284 M",32.77%,2.48,-,2.594
ACTC,ARCLIGHT CLEAN TRANSITION CORP COM CL A,16.70,-.89,-5.06%,"713,125",16.70,16.84,579 M,92.36%,2.466,-,3.102
HAFC,HANMI FINANCIAL CORP COM,18.85,-.78,-3.97%,"163,919",15.21,18.80,579 M,53.45%,2.436,-,3.615
EHTH,EHEALTH INC COM,67.64,-.45,-0.66%,"1,363,832",65.01,67.99,"1,754 M",56.96%,2.433,-,2.673
COP,CONOCOPHILLIPS COM,51.71,-.53,-1.01%,"11,839,547",51.71,52.00,"70,053 M",45.96%,2.43,-,2.622
SLG,SL GREEN RLTY CORP COM USD0.01(POST REV SPLIT),71.07,-1.14,-1.58%,"1,109,409",69.01,71.90,"4,929 M",39.84%,2.424,-,3.992
SFL,SFL CORPORATION LTD COM,7.85,-.31,-3.80%,"1,227,050",7.83,7.99,911 M,54.17%,2.414,-,2.73
ORCC,OWL ROCK CAPITAL CORPORATION COM,14.23,-.02,-0.14%,"858,856",14.11,14.50,"5,570 M",22.06%,2.369,-,2.567
BCEL,ATRECA INC COM CL A,14.64,-1.36,-8.50%,"321,840",14.01,15.52,539 M,115.98%,2.348,-,2.556
MLCO,MELCO RESORTS & ENTERTAINMENT ADR SPONSORED,20.40,-.46,-2.21%,"2,451,322",19.71,20.83,"9,731 M",39.55%,2.322,-,2.926
OGE,OGE ENERGY CORP COM,32.01,-.07,-0.22%,"1,152,404",31.75,32.68,"6,403 M",23.69%,2.282,-,3.405
MDGL,MADRIGAL PHARMACEUTICALS INC COM,114.39,-6.16,-5.11%,"182,714",112.50,299.99,"1,833 M",62.41%,2.26,-,2.81
NGVT,INGEVITY CORPORATION COM,71.79,-3.29,-4.38%,"322,780",69.89,74.09,"3,082 M",39.53%,2.277,-,3.542
NGL,NGL ENERGY PARTNERS LP COM UNIT REPSTG LTD PARTNER,2.23,-.07,-3.04%,"3,352,418",2.23,2.28,288 M,89.29%,2.255,-,3.376
ATNM,ACTINIUM PHARMACEUTICALS INC COM,8.43,-.33,-3.77%,"262,048",8.12,8.60,115 M,93.74%,2.239,-,2.607
APH,AMPHENOL CORP COM CL A,62.93,-1.78,-2.75%,"3,136,758",63.00,63.38,"37,705 M",31.09%,2.138,-,2.83
LYB,LYONDELLBASELL INDUSTRIES N V COM,100.26,-5.74,-5.42%,"3,003,184",99.01,101.60,"33,500 M",35.47%,2.138,-,3.265
VOD,VODAFONE GROUP ADR SPONSORED,18.47,-.15,-0.81%,"6,374,717",18.44,18.53,"52,203 M",27.36%,2.129,-,2.656
